,title,link
203,The birth of a word,https://www.ted.com/talks/deb_roy_the_birth_of_a_word?language=en
204,Let's use video to reinvent education,https://www.ted.com/talks/sal_khan_let_s_use_video_to_reinvent_education?language=en
205,My wish: Use art to turn the world inside out,https://www.ted.com/talks/jr_my_wish_use_art_to_turn_the_world_inside_out?language=en
206,Understanding cancer through proteomics,https://www.ted.com/talks/danny_hillis_understanding_cancer_through_proteomics?language=en
207,How to use experts — and when not to,https://www.ted.com/talks/noreena_hertz_how_to_use_experts_and_when_not_to?language=en
208,The council of dads,https://www.ted.com/talks/bruce_feiler_the_council_of_dads?language=en
209,Understanding the rise of China,https://www.ted.com/talks/martin_jacques_understanding_the_rise_of_china?language=en
210,Singing after a double lung transplant,https://www.ted.com/talks/charity_tillemann_dick_singing_after_a_double_lung_transplant?language=en
211,Addicted to risk,https://www.ted.com/talks/naomi_klein_addicted_to_risk?language=en
212,"A test that finds 3x more breast tumors, and why it's not available to you",https://www.ted.com/talks/deborah_rhodes_a_test_that_finds_3x_more_breast_tumors_and_why_it_s_not_available_to_you?language=en
213,Using our practical wisdom,https://www.ted.com/talks/barry_schwartz_using_our_practical_wisdom?language=en
214,A one-man orchestra of the imagination,https://www.ted.com/talks/andrew_bird_a_one_man_orchestra_of_the_imagination?language=en
215,Global power shifts,https://www.ted.com/talks/joseph_nye_global_power_shifts?language=en
216,Breakthrough designs for ultra-low-cost products,https://www.ted.com/talks/r_a_mashelkar_breakthrough_designs_for_ultra_low_cost_products?language=en
217,"Poverty, money — and love",https://www.ted.com/talks/jessica_jackley_poverty_money_and_love?language=en
218,My web playroom,https://www.ted.com/talks/ze_frank_my_web_playroom?language=en
219,Tagging tuna in the deep ocean,https://www.ted.com/talks/barbara_block_tagging_tuna_in_the_deep_ocean?language=en
220,An economic reality check,https://www.ted.com/talks/tim_jackson_an_economic_reality_check?language=en
221,I am my connectome,https://www.ted.com/talks/sebastian_seung_i_am_my_connectome?language=en
222,Mothers helping mothers fight HIV,https://www.ted.com/talks/mitchell_besser_mothers_helping_mothers_fight_hiv?language=en
223,How web video powers global innovation,https://www.ted.com/talks/chris_anderson_how_web_video_powers_global_innovation?language=en
224,Discovering ancient climates in oceans and ice,https://www.ted.com/talks/rob_dunbar_discovering_ancient_climates_in_oceans_and_ice?language=en
225,The technology of the heart,https://www.ted.com/talks/his_holiness_the_karmapa_the_technology_of_the_heart?language=en
226,Let the environment guide our development,https://www.ted.com/talks/johan_rockstrom_let_the_environment_guide_our_development?language=en
227,Our century's greatest injustice,https://www.ted.com/talks/sheryl_wudunn_our_century_s_greatest_injustice?language=en
228,How big brands can help save biodiversity,https://www.ted.com/talks/jason_clay_how_big_brands_can_help_save_biodiversity?language=en
229,A monkey economy as irrational as ours,https://www.ted.com/talks/laurie_santos_a_monkey_economy_as_irrational_as_ours?language=en
230,Wiring an interactive ocean,https://www.ted.com/talks/john_delaney_wiring_an_interactive_ocean?language=en
231,The art of choosing,https://www.ted.com/talks/sheena_iyengar_the_art_of_choosing?language=en
232,How we found hundreds of potential Earth-like planets,https://www.ted.com/talks/dimitar_sasselov_how_we_found_hundreds_of_potential_earth_like_planets?language=en
233,Superheroes inspired by Islam,https://www.ted.com/talks/naif_al_mutawa_superheroes_inspired_by_islam?language=en
234,Why the world needs WikiLeaks,https://www.ted.com/talks/julian_assange_why_the_world_needs_wikileaks?language=en
235,The politics of fiction,https://www.ted.com/talks/elif_shafak_the_politics_of_fiction?language=en
236,Listening to global voices,https://www.ted.com/talks/ethan_zuckerman_listening_to_global_voices?language=en
237,Education innovation in the slums,https://www.ted.com/talks/charles_leadbeater_education_innovation_in_the_slums?language=en
238,The intriguing sound of marine mammals,https://www.ted.com/talks/peter_tyack_the_intriguing_sound_of_marine_mammals?language=en
239,The pattern behind self-deception,https://www.ted.com/talks/michael_shermer_the_pattern_behind_self_deception?language=en
